customer_id,age,annual_income,credit_score,purchase_amount,months_as_customer,num_purchases,satisfaction_rating,region,membership_tier,product_category
1,56,56941.55,389,308.55,60,21,3.6,South,Bronze,Clothing
2,69,74372.9,717,109.87,43,19,3.6,West,Gold,Clothing
3,46,40958.94,414,26.46,76,48,2.5,South,Silver,Books
4,32,48446.76,495,65.18,108,19,3.2,Central,Bronze,Sports
5,60,47157.84,800,537.46,100,36,2.9,East,Silver,Books
6,25,,792,258.11,112,29,4.5,North,Gold,Electronics
7,38,60922.41,374,53.5,68,18,3.1,North,Bronze,Sports
8,56,60221.11,712,59.69,5,2,,West,Bronze,Home & Garden
9,36,55102.27,675,11.28,37,1,2.6,South,Bronze,Electronics
10,40,50308.26,719,1528.17,72,47,3.3,West,Gold,Electronics
11,28,26692.59,576,260.68,106,5,4.2,East,Silver,Home & Garden
12,28,46587.09,693,76.36,113,20,3.2,West,Silver,Electronics
13,41,48145.71,756,114.45,92,11,,North,Gold,Sports
14,70,38954.45,491,6.65,31,42,4.0,North,Gold,Books
15,53,51774.29,398,50.2,9,2,3.1,Central,Silver,Electronics
16,57,63081.02,847,446.45,118,3,2.7,Central,Gold,Sports
17,41,92723.72,395,292.32,51,23,4.5,East,Bronze,Clothing
18,20,58491.56,489,133.87,29,12,2.7,South,Bronze,Sports
19,39,60151.01,336,88.44,78,20,2.8,West,Bronze,Books
20,70,,668,234.09,40,5,5.0,East,Bronze,Sports
21,19,16624.58,824,64.22,41,37,1.0,Central,Silver,Home & Garden
22,41,54469.72,578,12.21,86,38,1.7,West,Platinum,Books
23,61,56204.6,516,89.35,11,30,2.5,Central,Bronze,Clothing
24,47,104264.84,572,438.06000000000006,23,9,4.7,West,Bronze,Home & Garden
25,55,51152.78,361,346.27,1,34,1.3,South,Silver,Sports
26,19,61030.95,641,15.97,46,44,1.0,East,Platinum,Books
27,38,54305.76,696,77.67,101,35,1.2,West,Bronze,Clothing
28,50,31626.44,318,82.24,21,22,1.4,North,Silver,Home & Garden
29,29,77856.46,476,24.01,90,44,1.2,North,Bronze,Clothing
